# 0 - 80 km from https://www.engineeringtoolbox.com/standard-atmosphere-d_604.html. Rest from http://www.braeunig.us/space/atmos.htm
Altitude(km),Density(kg/m^3)
0,1.225
1,1.112
2,1.007
3,0.9093
4,0.8194
5,0.7364
6,0.6601
7,0.59
8,0.5258
9,0.4671
10,0.4135
15,0.1948
20,0.08891
25,0.04008
30,0.01841
40,0.003996
50,0.001027
60,0.0003097
70,0.00008283
80,0.00001846
100,5.08E-07
120,1.80E-08
140,3.26E-09
160,1.18E-09
180,5.51E-10
200,2.91E-10
220,1.66E-10
240,9.91E-11
260,6.16E-11
280,3.94E-11
300,2.58E-11
320,1.72E-11
340,1.16E-11
360,7.99E-12
380,5.55E-12
400,3.89E-12
420,2.75E-12
440,1.96E-12
460,1.40E-12
480,1.01E-12
500,7.30E-13
520,5.31E-13
540,3.88E-13
560,2.85E-13
580,2.11E-13
600,1.56E-13
620,1.17E-13
640,8.79E-14
660,6.65E-14
680,5.08E-14
700,3.91E-14
720,3.04E-14
740,2.39E-14
760,1.90E-14
780,1.53E-14
800,1.25E-14
820,1.03E-14
840,8.64E-15
860,7.32E-15
880,6.28E-15
900,5.46E-15
